path,avg_volume,last_volume,RSI,Close_price,low_BB
trend\рисунок298.png,268.9597849501661,779.28388,25.6299730447505,64882.01,65123.395398947876
trend\рисунок299.png,286.1723333554817,517.65897,25.86270033287993,62684.01,62043.63796471644
trend\рисунок300.png,355.83199671096344,1073.86081,35.309027714707746,60912.01,60654.27630272073
trend\рисунок301.png,359.7603666112957,2138.84476,11.03516099025161,57368.0,57538.7927808778
trend\рисунок302.png,382.99303418604654,8045.57136,14.289769863691959,53928.0,55640.35720848068
trend\рисунок303.png,183.20868169435215,1323.92434,29.79937460888174,61910.96,62013.84125231337
trend\рисунок304.png,197.5516915946844,1246.74741,26.42628985187607,61093.2,61305.33093152378
trend\рисунок305.png,210.89735970099665,2689.76939,9.767425238849246,58394.7,59935.9582449248
trend\рисунок306.png,242.74008953488368,4673.03058,20.70814097351166,56202.01,56906.78088073484
trend\рисунок307.png,371.8958981727575,805.42653,25.335441365939428,53662.68,53299.1242521737
trend\рисунок308.png,147.4685862126246,643.26674,18.999189990287544,64430.0,64242.36303524184
trend\рисунок309.png,163.1456381727575,1116.96455,19.10679237389232,63308.0,63570.17985547114
trend\рисунок310.png,213.3310596013289,3000.98959,17.898596998771882,62166.02,62288.965700862995
trend\рисунок311.png,215.67726059800665,1352.40095,23.163800978359415,59611.01,59902.19555208531
trend\рисунок312.png,189.9378064119601,991.36706,24.929530328441995,67333.99,67244.05677990624
trend\рисунок313.png,270.474203255814,486.56857,35.87956370195974,65878.02,65772.16106638656
trend\рисунок314.png,381.31704764119604,508.52527,32.817877633327946,70442.01,70237.38080803237
trend\рисунок315.png,268.9498157807309,828.29411,22.86020890715222,68686.0,68873.95863057282
trend\рисунок316.png,277.9765811295681,630.29097,26.817509653333094,67709.99,67929.07352798629
trend\рисунок317.png,417.6153826112957,910.17282,33.20396284955779,96343.94,96371.24710613112
trend\рисунок318.png,357.7911673089701,888.22219,27.55551357915899,94020.0,94322.83050205185
trend\рисунок319.png,409.09359717607975,980.892,40.113853665829964,92356.85,91652.8386888648
trend\рисунок320.png,604.3380510365448,5881.43187,14.83219557209548,94115.9,96334.40677243622
trend\рисунок321.png,383.87966674750834,4192.44582,26.106844556751916,101981.54,102732.88836445105
trend\рисунок322.png,452.78049478405313,2445.51078,30.711727320486514,98855.86,98706.90175161786
trend\рисунок323.png,525.7725426445182,1540.01544,29.183166097562,93636.0,92962.495928191
trend\рисунок324.png,174.6143200664452,3371.7842,15.755715738859378,98592.43,99521.00736714952
trend\рисунок325.png,186.83711478405317,2071.65136,11.80886536902087,97568.37,98429.37082395838
trend\рисунок326.png,251.5247777076412,1178.63202,31.093066768911136,94783.99,95104.43420425103
trend\рисунок327.png,329.68146438538207,1428.16743,29.46410177876368,92334.27,92719.80323635667
trend\рисунок328.png,452.2745011960133,434.10254,32.74298684349174,101290.18,101531.39871942323
trend\рисунок329.png,158.76483481727576,1109.38024,17.501510178480082,101728.0,101881.75588640088
trend\рисунок330.png,173.31026767441864,653.62668,26.94183958093462,100301.69,100234.12482115132
trend\рисунок331.png,203.99084508305648,388.62778,24.09331703935939,100730.0,100757.91211484968
trend\рисунок332.png,191.35437196013288,419.41174,19.32419092668642,99206.86,99401.2429919776
trend\рисунок333.png,216.95604488372092,1006.31188,25.475411898094713,97228.85,97549.35594293446
trend\рисунок334.png,263.70239857142855,2298.09194,28.98178323010813,94153.52,94969.7599727121
trend\рисунок335.png,169.59018292358803,269.90113,26.648894528038667,95913.99,95856.1122523547
trend\рисунок336.png,204.66139993355483,4677.39967,27.912943192050516,94520.37,95323.68734736611
trend\рисунок337.png,140.90438365448506,550.82172,25.38156816977232,94258.86,94203.8469847436
trend\рисунок338.png,188.04985787375415,1328.58921,32.393447027570794,93166.07,93413.4494654415
trend\рисунок339.png,193.06141760797345,1404.0671,20.7034336038672,91006.62,91301.14492937739
trend\рисунок340.png,276.6008939202658,2234.39246,21.825359204303616,87746.64,87455.19738272588
trend\рисунок341.png,522.770359767442,1368.84139,24.011529241317195,83160.54,83030.70786204292
trend\рисунок342.png,491.2536107641196,2468.21974,22.483725306256485,83380.55,84181.0382156052
trend\рисунок343.png,328.6134277076412,369.39318,34.17819484503793,81845.11,81881.02844609674
trend\рисунок344.png,327.4237626910299,770.48798,26.518668550056017,79009.98,78046.93994996372
trend\рисунок345.png,167.58967800664453,1034.38326,17.377884568693197,81404.94,81887.07288153392
trend\рисунок346.png,47802.37289036544,98071.52,28.097319979618323,18.3293,18.47866254118797
trend\рисунок347.png,153911.38002990032,151907.848,25.577795825426904,32.332,32.07826591543955
trend\рисунок348.png,142281.43864784052,258355.345,27.094400362124034,27.837,28.31379651337054
trend\рисунок349.png,151645.86222923588,553373.449,22.945816794130234,22.494,22.89941999260947
trend\рисунок350.png,25792.781870431896,373661.657,17.71586533720862,208.17,210.53014248074751
trend\рисунок351.png,28391.946425249167,86522.357,26.66627671779854,205.1,203.16858918142853
trend\рисунок352.png,32223.113837209305,67978.349,27.604846548274224,196.1,195.83144679987006
trend\рисунок353.png,39433.198182724256,150855.795,26.294951047952452,185.5,187.26292840303753
trend\рисунок354.png,27838.509700996678,107107.142,15.01044433698611,175.41,175.57776082662264
trend\рисунок355.png,47802.37289036544,98071.52,28.097319979618323,18.3293,18.47866254118797
trend\рисунок356.png,153911.38002990032,151907.848,25.577795825426904,32.332,32.07826591543955
